model,rmse,mae
CatBoost_h1,5.096381752420691,3.6475114988356028
CatBoost_h12,5.277059795821032,3.7605113755732726
CatBoost_h3,5.322382558640057,3.7711576594806995
CatBoost_h6,5.331588052033824,3.7996494225817563
ElasticNet_h1,6.158702399902293,4.108366152145026
ElasticNet_h12,6.74874882220288,4.365928623813944
ElasticNet_h3,6.336211160308134,4.194654646850617
ElasticNet_h6,6.41792770750459,4.250665577483496
Lasso_h1,6.158759905412933,4.108351011482215
Lasso_h12,6.7487537372874,4.3659012614192125
Lasso_h3,6.336209288339953,4.194638113246874
Lasso_h6,6.417942644667401,4.250697381231634
LightGBM_h1,4.575322425762694,3.3352834396357456
LightGBM_h12,4.657633367666245,3.3958979598738415
LightGBM_h3,4.7353058894152396,3.4272515763521425
LightGBM_h6,4.86205619700262,3.510566198649408
PLS_h1,6.18084909336412,4.1042809525707415
PLS_h12,6.759237719454879,4.376749620373745
PLS_h3,6.339380799000158,4.1933757124381295
PLS_h6,6.426419536642403,4.254749094305784
Ridge_h1,6.086851647923288,4.085012250984062
Ridge_h12,6.717122522595518,4.3604225824184555
Ridge_h3,6.328789483106107,4.1873145424188785
Ridge_h6,6.4017915324055945,4.243219654147292
XGBoost_h1,4.353868258791335,3.2161985266125863
XGBoost_h12,4.4861440285083765,3.3013043216740092
XGBoost_h3,4.503530272737501,3.2959167286339732
XGBoost_h6,4.61787510384393,3.3802508836405143
