train_end,horizon,model,RMSE,MAE,n_obs
2018-12-01,1,"ETS(A,A,A)",0.34510442180295137,0.2555552551844824,360.0
2018-12-01,3,"ETS(A,A,A)",0.3531144089310289,0.25161888054597215,360.0
2018-12-01,6,"ETS(A,A,A)",0.3671281587457828,0.26245321272194627,360.0
2019-12-01,1,"ETS(A,A,A)",0.3503004455715638,0.25029458213095845,360.0
2019-12-01,3,"ETS(A,A,A)",0.3669679715029421,0.27052474033183227,360.0
2019-12-01,6,"ETS(A,A,A)",0.38017135830931703,0.27935852243150183,360.0
2020-12-01,1,"ETS(A,A,A)",0.32088972901581286,0.22984764334046473,360.0
2020-12-01,3,"ETS(A,A,A)",0.3296675086430417,0.23409872918548827,360.0
2020-12-01,6,"ETS(A,A,A)",0.347706589282668,0.2386530785398601,360.0
2021-12-01,1,"ETS(A,A,A)",0.30329068863310965,0.21313184895941897,360.0
2021-12-01,3,"ETS(A,A,A)",0.3070166255908075,0.2119396706659885,360.0
2021-12-01,6,"ETS(A,A,A)",0.287198305897544,0.2021781912934245,360.0
2022-12-01,1,"ETS(A,A,A)",0.28210357073696474,0.20139358471835014,360.0
2022-12-01,3,"ETS(A,A,A)",0.27345818763267377,0.19759481190864336,360.0
2022-12-01,6,"ETS(A,A,A)",0.2849750983309365,0.20325283535255598,360.0
2023-12-01,1,"ETS(A,A,A)",0.28224383026708305,0.20201305231075217,330.0
2023-12-01,3,"ETS(A,A,A)",0.2846102127461709,0.1994014955010829,270.0
2023-12-01,6,"ETS(A,A,A)",0.2843537281571032,0.19860293574709892,180.0
